Occupation,"Total 16 years and over","16 to 19 years","20 to 24 years","25 to 34 years","35 to 44 years","45 to 54 years","55 to 64 years","65 years and over","Median age"
"Cement masons, concrete finishers, and terrazzo workers",65,1,7,17,19,12,7,2,40.4
Construction laborers,"2,051",74,243,484,535,386,265,65,39.5
"Paving, surfacing, and tamping equipment operators",22,0,3,7,2,5,5,1,–
Pile-driver operators,1,0,1,0,0,0,0,0,–
Operating engineers and other construction equipment operators,375,7,29,77,90,86,67,19,43.5
"Drywall installers, ceiling tile installers, and tapers",178,4,15,44,50,37,23,5,40.9
Electricians,914,17,95,210,217,192,149,34,41.5
Glaziers,38,0,3,10,8,13,5,0,–
Insulation workers,59,0,7,14,21,9,6,2,39.8
"Painters, construction and maintenance",599,8,35,136,166,133,95,25,42.1
Paperhangers,7,0,0,3,2,0,2,0,–
"Pipelayers, plumbers, pipefitters, and steamfitters",637,8,49,165,171,114,104,26,41
Plasterers and stucco masons,23,0,1,8,6,2,5,0,–
Reinforcing iron and rebar workers,6,1,2,1,2,0,0,1,–
Roofers,222,3,27,82,47,38,19,5,35.7
Sheet metal workers,140,4,8,31,37,35,22,4,42.8
Structural iron and steel workers,66,2,4,19,19,12,8,1,38.9
Solar photovoltaic installers,18,0,4,10,2,1,0,0,–
"Helpers, construction trades",50,6,10,16,7,5,5,1,31.5
Construction and building inspectors,105,2,5,12,16,28,32,10,52.1
Elevator installers and repairers,20,0,3,2,5,3,6,0,–
Fence erectors,41,1,5,17,7,8,3,0,–
Hazardous materials removal workers,40,0,3,8,8,9,9,1,–
Highway maintenance workers,113,3,12,23,15,29,24,7,45.8
Rail-track laying and maintenance equipment operators,4,0,1,2,0,0,1,0,–
Septic tank servicers and sewer pipe cleaners,8,0,0,1,3,2,1,0,–
Miscellaneous construction and related workers,32,0,8,7,6,5,3,2,–
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29,0,2,14,8,3,2,0,–
"Earth drillers, except oil and gas",22,0,1,8,7,3,2,0,–
"Explosives workers, ordnance handling experts, and blasters",8,0,0,3,3,1,1,0,–
Mining machine operators,56,0,4,18,13,9,10,1,40.9
"Roof bolters, mining",1,0,0,1,1,0,0,0,–
"Roustabouts, oil and gas",8,0,1,4,1,1,1,0,–
Helpers--extraction workers,2,0,0,2,0,0,0,0,–
Other extraction workers,46,0,5,17,11,6,6,0,–
"Installation, maintenance, and repair occupations","4,862",90,440,"1,096","1,075","1,046",903,212,42.5
"First-line supervisors of mechanics, installers, and repairers",272,0,4,46,67,71,68,16,48
"Computer, automated teller, and office machine repairers",184,2,20,50,33,43,28,7,40.6
Radio and telecommunications equipment installers and repairers,131,3,13,27,30,31,22,5,41.4
Avionics technicians,13,0,1,1,4,3,5,0,–
"Electric motor, power tool, and related repairers",16,1,1,3,2,2,5,1,–
"Electrical and electronics installers and repairers, transportation equipment",7,0,0,1,2,1,3,0,–
"Electrical and electronics repairers, industrial and utility",17,0,0,6,2,6,3,0,–
"Electronic equipment installers and repairers, motor vehicles",9,0,0,3,0,3,1,1,–
Electronic home entertainment equipment installers and repairers,32,1,3,12,8,5,3,1,–
Security and fire alarm systems installers,58,1,6,12,17,15,7,1,41.3
Aircraft mechanics and service technicians,152,1,11,25,32,41,32,10,48.1
Automotive body and related repairers,125,1,7,31,30,27,25,5,43.3
Automotive glass installers and repairers,21,1,4,4,4,5,2,1,–
Automotive service technicians and mechanics,880,22,120,223,184,176,133,22,39.5
Bus and truck mechanics and diesel engine specialists,347,5,42,83,79,65,62,11,41.1
Heavy vehicle and mobile equipment service technicians and mechanics,211,2,21,50,38,46,46,8,44
Small engine mechanics,45,3,4,10,11,5,8,5,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and  repairers",73,6,14,18,14,10,11,1,32.9
Control and valve installers and repairers,22,0,1,4,7,4,5,1,–
